['HAHA', 'drafted', 'Antonio Brown, Pit', '', '']
['TD', 'drafted', 'Eli Manning, NYG', '', '']
['CBK', 'drafted', 'Victor Cruz, NYG', '', '']
['CAW', 'drafted', 'Matthew Stafford, Det', '', '']
['USC', 'drafted', 'Denarius Moore, Oak', '', '']
['DB', 'drafted', 'Cam Newton, Car', '', '']
['JONK', 'drafted', 'Michael Bush, Chi', '', '']
['NYC', 'drafted', 'Tom Brady, NE', '', '']
['GULL', 'drafted', 'Michael Vick, Phi', '', '']
['CHIN', 'drafted', 'Vernon Davis, SF', '', '']
['HS', 'drafted', 'Jay Cutler, Chi', '', '']
['TEEL', 'drafted', 'Aaron Rodgers, GB', '', '']
['PLYZ', 'drafted', 'Arian Foster, Hou', '', '']
['M0M0', 'drafted', 'Julio Jones, Atl', '', '']
['HAHA', 'drafted', 'DeMarco Murray, Dal', '', '']
['USC', 'drafted', 'Carson Palmer, Oak', '', '']
['JONK', 'drafted', 'Jimmy Graham, NO', '', '']
['NYC', 'drafted', 'Marshawn Lynch, Sea', '', '']
['GULL', 'drafted', 'Wes Welker, NE', '', '']
['HS', 'drafted', 'Darren Sproles, NO', '', '']
['TEEL', 'drafted', 'Miles Austin, Dal', '', '']
['PLYZ', 'drafted', 'Tony Romo, Dal', '', '']
['M0M0', 'drafted', 'Rob Gronkowski, NE', '', '']
['GULL', 'drafted', 'A.J. Green, Cin', '', '']
['HS', 'drafted', 'Eric Decker, Den', '', '']
['PLYZ', 'drafted', 'Fred Jackson, Buf', '', '']
['HAHA', 'drafted', 'Ray Rice, Bal', '', '']
['M0M0', 'drafted', 'LeSean McCoy, Phi', '', '']
['JONK', 'drafted', 'Maurice Jones-Drew, Jac', '', '']
['USC', 'drafted', 'Calvin Johnson, Det', '', '']
['USC', 'drafted', 'Andre Johnson, Hou', '', '']
['NYC', 'drafted', 'Darren McFadden, Oak', '', '']
['CBK', 'drafted', 'Drew Brees, NO', '', '']
['TEEL', 'drafted', 'Chris Johnson, Ten', '', '']
['TD', 'drafted', 'Michael Turner, Atl', '', '']
['CHIN', 'drafted', 'Jamaal Charles, KC', '', '']
['CHIN', 'drafted', 'Matt Forte, Chi', '', '']
['HAHA', 'drafted', 'Larry Fitzgerald, Ari', '', '']
['HS', 'drafted', 'Adrian Peterson, Min', '', '']
['TEEL', 'drafted', 'Ryan Mathews, SD', '', '']
['CAW', 'drafted', 'Roddy White, Atl', '', '']
['CHIN', 'drafted', 'Trent Richardson, Cle', '', '']
['DB', 'drafted', 'Peyton Manning, Den', '', '']
['HS', 'drafted', 'Greg Jennings, GB', '', '']
['HS', 'drafted', 'Antonio Gates, SD', '', '']
['DB', 'drafted', 'Willis McGahee, Den', '', '']
['CAW', 'drafted', 'Mike Wallace, Pit', '', '']
['M0M0', 'drafted', 'Steven Jackson, StL', '', '']
['TD', 'drafted', 'Philip Rivers, SD', '', '']
['DB', 'drafted', 'Percy Harvin, Min', '', '']
['PLYZ', 'drafted', 'Michael Crabtree, SF', '', '']
['CAW', 'drafted', 'Hakeem Nicks, NYG', '', '']
['CBK', 'drafted', 'Brandon Marshall, Chi', '', '']
['DB', 'drafted', 'Jordy Nelson, GB', '', '']
['DB', 'drafted', 'Steve Smith, Car', '', '']
['CAW', 'drafted', 'Brandon Lloyd, NE', '', '']
['JONK', 'drafted', 'Reggie Bush, Mia', '', '']
['CBK', 'drafted', 'Frank Gore, SF', '', '']
['PLYZ', 'drafted', 'Ahmad Bradshaw, NYG', '', '']
['TD', 'drafted', 'Peyton Hillis, KC', '', '']
['GULL', 'drafted', 'Dez Bryant, Dal', '', '']
['PLYZ', 'drafted', 'Matt Ryan, Atl', '', '']
['GULL', 'drafted', 'BenJarvus Green-Ellis, Cin', '', '']
['GULL', 'drafted', 'Reggie Wayne, Ind', '', '']
['TD', 'drafted', 'Anquan Boldin, Bal', '', '']
['PLYZ', 'drafted', 'Marques Colston, NO', '', '']
['NYC', 'drafted', 'Steve Johnson, Buf', '', '']
['TEEL', 'drafted', 'Isaac Redman, Pit', '', '']
['CHIN', 'drafted', 'Vincent Jackson, TB', '', '']
['GULL', 'drafted', 'Dwayne Bowe, KC', '', '']
['DB', 'drafted', 'Beanie Wells, Ari', '', '']
['JONK', 'drafted', 'Roy Helu, Wsh', '', '']
['TD', 'drafted', 'Shonn Greene, NYJ', '', '']
['JONK', 'drafted', 'Jonathan Stewart, Car', '', '']
['JONK', 'drafted', 'Jeremy Maclin, Phi', '', '']
['NYC', 'drafted', 'Ben Roethlisberger, Pit', '', '']
['DB', 'drafted', 'Aaron Hernandez, NE', '', '']
['CBK', 'drafted', 'DeSean Jackson, Phi', '', '']
['HS', 'drafted', 'Terrell Owens, FA', '', '']
['TD', 'drafted', 'Demaryius Thomas, Den', '', '']
['PLYZ', 'drafted', 'Stevan Ridley, NE', '', '']
['HS', 'drafted', 'Matt Schaub, Hou', '', '']
['TD', 'drafted', 'Jason Witten, Dal', '', '']
['PLYZ', 'drafted', 'Malcom Floyd, SD', '', '']
['TD', 'drafted', '49ers D/ST, SF', '', '']
['HS', 'drafted', 'Ben Tate, Hou', '', '']
['TD', 'drafted', 'DeAngelo Williams, Car', '', '']
['DB', 'drafted', 'Tim Tebow, NYJ', '', '']
['DB', 'drafted', 'Matt Prater, Den', '', '']
['USC', 'drafted', 'Robert Meachem, SD', '', '']
['GULL', 'drafted', 'Cedric Benson, GB', '', '']
['PLYZ', 'drafted', 'Pierre Garcon, Wsh', '', '']
['HS', 'drafted', 'Danny Amendola, StL', '', '']
['CHIN', 'drafted', 'Torrey Smith, Bal', '', '']
['GULL', 'drafted', 'Seahawks D/ST, Sea', '', '']
['M0M0', 'drafted', 'Sam Bradford, StL', '', '']
['CAW', 'drafted', 'Santonio Holmes, NYJ', '', '']
['TD', 'drafted', 'Jermichael Finley, GB', '', '']
['CBK', 'drafted', 'Fred Davis, Wsh', '', '']
['TD', 'drafted', 'Jahvid Best, Det', '', '']
['DB', 'drafted', 'Mark Ingram, NO', '', '']
['DB', 'drafted', 'Broncos D/ST, Den', '', '']
['CBK', 'drafted', 'Sebastian Janikowski, Oak', '', '']
['NYC', 'drafted', 'Darrius Heyward-Bey, Oak', '', '']
['GULL', 'drafted', 'Doug Martin, TB', '', '']
['CHIN', 'drafted', 'Andrew Luck, Ind', '', '']
['HS', 'drafted', 'Lions D/ST, Det', '', '']
['TEEL', 'drafted', 'Lance Moore, NO', '', '']
['NYC', 'drafted', 'Tony Gonzalez, Atl', '', '']
['GULL', 'drafted', 'Jacob Tamme, Den', '', '']
['CHIN', 'drafted', 'Kenny Britt, Ten', '', '']
['TD', 'drafted', 'Stephen Gostkowski, NE', '', '']
['CBK', 'drafted', 'Kevin Smith, Det', '', '']
['M0M0', 'drafted', 'C.J. Spiller, Buf', '', '']
['TEEL', 'drafted', 'Toby Gerhart, Min', '', '']
['DB', 'drafted', 'Sidney Rice, Sea', '', '']
['PLYZ', 'drafted', 'Mason Crosby, GB', '', '']
['GULL', 'drafted', 'David Akers, SF', '', '']
['GULL', 'drafted', 'Griffin III, Wsh', '', '']
['CHIN', 'drafted', 'Jake Locker, Ten', '', '']
['NYC', 'drafted', 'Rob Bironas, Ten', '', '']
['HAHA', 'drafted', 'Nate Washington, Ten', '', '']
['PLYZ', 'drafted', 'Jared Cook, Ten', '', '']
['M0M0', 'drafted', 'Dan Bailey, Dal', '', '']
['HAHA', 'drafted', 'Josh Freeman, TB', '', '']
['CBK', 'drafted', 'Brent Celek, Phi', '', '']
['CAW', 'drafted', 'James Starks, GB', '', '']
['M0M0', 'drafted', 'Donald Brown, Ind', '', '']
['CBK', 'drafted', 'Texans D/ST, Hou', '', '']
['NYC', 'drafted', 'Bears D/ST, Chi', '', '']
['M0M0', 'drafted', 'Steelers D/ST, Pit', '', '']
['HS', 'drafted', 'Randy Bullock, Hou', '', '']
['JONK', 'drafted', 'Titus Young, Det', '', '']
['PLYZ', 'drafted', 'Ravens D/ST, Bal', '', '']
['M0M0', 'drafted', 'Brandon Pettigrew, Det', '', '']
['HAHA', 'drafted', 'David Wilson, NYG', '', '']
['JONK', 'drafted', 'Joe Flacco, Bal', '', '']
['CBK', 'drafted', 'Shane Vereen, NE', '', '']
['USC', 'drafted', 'Felix Jones, Dal', '', '']
['CHIN', 'drafted', 'Eagles D/ST, Phi', '', '']
['NYC', 'drafted', 'LeGarrette Blount, TB', '', '']
['JONK', 'drafted', 'Alex Smith, SF', '', '']
